VEHICLE TYPE;FUEL TYPE;MODEL;VARIANT DETAILS;LISTED PRICE ($AUD);FAST CHARGE TIME (minutes);ANCAP RATING;RANGE (km);ENERGY CONSUMPTION;;SUBURB
Large SUV;PHEV;Land Rover Range Rover Sport PHEV;2024 Land Rover Range Rover Sport PHEV P460e Dynamic SE Auto AWD MY25;188716;40 mins (0%-80% charge, 43kW charger);5 star, 2022;125;25.6;;Sydney
Large SUV;PHEV;Land Rover Range Rover Velar PHEV;2024 Land Rover Range Rover Velar PHEV P400e Dynamic SE Auto AWD MY25;131536;30 mins (0%-80% charge);Unrated;59;19.3;;Sydney
Medium SUV;PHEV;Lexus NX PHEV;2024 Lexus NX NX450h+ F Sport Auto eFour;92882;150 mins (0%-100% charge, 32A charger);5 star, 2022;87;14;;Sydney
Medium SUV;PHEV;Mazda CX-60 PHEV;2024 Mazda CX-50 P50e Evolve KH Series Auto i-ACTIV AWD;73600;90 mins (20%-80% charge, 7.2kW charger);5 star, 2023;76;14.8;;Pyrmont
Large SUV;PHEV;Mazda CX-80 PHEV;2024 Mazda CX-80 P50e Touring KL Auto i-ACTIV AWD;75000;90 mins (20%-80% charge, 7.2kW charger);5 star, 2024;65;19.8;;Pyrmont
Sports Car;PHEV;McLaren Artura PHEV;2024 McLaren Artura Auto MY25;495004;;Unrated;;;;Pyrmont
Large Car;PHEV;Mercedes-AMG GT 4D PHEV;2024 Mercedes-Benz AMG GT 63 S E Performance Auto 4MATIC+;405300;;Unrated;14;12.1;;Pyrmont
Medium Car;PHEV;Mercedes-Benz C-Class PHEV;2024 Mercedes-Benz C-Class C63 AMG S E Performance Auto 4MATIC+;190900;;Unrated;15;10.8;;Pyrmont
Medium SUV;PHEV;Mercedes-Benz GLC-Class PHEV;2024 Mercedes-Benz GLC-Class GLC63 AMG S E PERFORMANCE Auto 4MATIC+;191814;;Unrated;14;9.8;;Pyrmont
Small SUV;PHEV;Mitsubishi Eclipse Cross PHEV;2024 Mitsubishi Eclipse Cross PHEV ES YB Auto AWD MY24;47790;25 mins (recharge to 80%, 60A charger);Unrated;55;16.8;;Pyrmont
Medium SUV;PHEV;Mitsubishi Outlander PHEV;2024 Mitsubishi Outlander PHEV ES ZM Auto AWD MY24;57290;38 mins (recharge to 80%, 60A charger);5 star, 2022;84;19.2;;Pyrmont
Medium SUV;PHEV;Peugeot 408 PHEV;2023 Peugeot 408 GT Plug-In Hybrid Auto MY23;67990;210 mins (0%-100% charge, 11kW charger);Unrated;;;;Pyrmont
Large SUV;PHEV;Porsche Cayenne PHEV;2024 Porsche Cayenne E-Hybrid 9YA II Auto 4x4 MY25;158700;;Unrated;42;20.9;;Pyrmont
Large Car;PHEV;Porsche Panamera PHEV;2024 Porsche Panamera 4 E-Hybrid 972 Auto AWD MY25;268100;;Unrated;56;19.5;;Pyrmont
Large SUV;PHEV;Volkswagen Touareg PHEV;2024 Volkswagen Touareg R RC Auto 4MOTION MY24;129990;;Unrated;51;21.1;;Rosebery
Medium Car;PHEV;Volvo S60 PHEV;2024 Volvo S60 Recharge T8 Black Edition Auto AWD MY24;;300 mins (full charge, 3.6kW charger);Unrated;90;18.6;;Erskineville
Medium SUV;PHEV;Volvo XC60 PHEV;2024 Volvo XC60 Recharge Plus T8 Plug-In Hybrid Auto AWD MY25;92390;300 mins (recharge to 100%, 3.6kW charger);Unrated;81;26.2;;Erskineville
Large SUV;PHEV;Volvo XC90 PHEV;2024 Volvo XC90 Recharge Ultimate T8 Plug-In Hybrid Auto AWD MY24;128390;300 mins (recharge to 100%, 3.6kW charger);Unrated;77;26.7;;Erskineville
